"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.177.26.176",50794,"41.177.202.202",53,2,321,1,89,1,232,166.536991,0.00014300000000844193,0,0
"41.177.26.176",50795,"41.177.202.202",53,2,321,1,89,1,232,166.538053,0.00015200000001414082,0,0
"41.177.26.176",50796,"41.177.202.202",53,2,319,1,87,1,232,166.639765,0.00015099999998824387,0,0
"41.177.26.176",50797,"41.177.202.202",53,2,407,1,90,1,317,166.672786,0.0001719999999920674,0,0
"41.177.26.176",50798,"41.177.202.202",53,2,392,1,99,1,293,166.673468,0.00013500000000021828,0,0
"41.177.26.176",50799,"41.177.202.202",53,2,392,1,99,1,293,166.67441,0.00014300000000844193,0,0
"41.177.26.176",50800,"41.177.202.202",53,2,319,1,87,1,232,166.680425,0.00014299999998002022,0,0
"41.177.26.176",50801,"41.177.202.202",53,2,370,1,90,1,280,166.685351,0.0001400000000160162,0,0
"41.177.26.176",50802,"41.177.202.202",53,2,353,1,97,1,256,166.685925,0.00012799999998946987,0,0
"41.177.26.176",50803,"41.177.202.202",53,2,353,1,97,1,256,166.686809,0.00014099999998506973,0,0
"41.177.26.176",50804,"41.177.202.202",53,2,319,1,87,1,232,166.687757,0.0001560000000040418,0,0
"41.177.26.176",50805,"41.177.202.202",53,2,397,1,90,1,307,166.876551,0.00018000000000029104,0,0
